idx,나이,관심 아이템,관심 아웃도어
682,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
683,32.0,,
684,45.0,,
685,39.0,,
686,36.0,,
687,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
688,72.0,,
690,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
691,,,"[0,0,0,0,0,0,0,0,0,1]"
692,34.0,,
693,43.0,,"[0,0,0,0,0,1,0,0,0,0]"
694,39.0,,
695,,,
717,48.0,,"[1,0,0,0,0,0,0,0,0,0]"
718,47.0,,
719,40.0,,
720,38.0,,
721,45.0,,
722,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
723,38.0,,"[0,1,0,0,0,0,0,0,0,0]"
725,,,"[0,0,0,1,0,0,0,0,0,0]"
726,46.0,,
727,45.0,,"[0,1,0,0,0,0,0,0,0,0]"
728,31.0,,
729,64.0,,
730,,,
731,31.0,,"[0,0,0,1,0,0,0,0,0,0]"
732,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
733,44.0,,
734,,,
735,37.0,,
736,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
737,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
738,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
739,,,"[0,0,0,0,0,0,0,0,0,1]"
740,48.0,,"[0,0,0,0,1,0,0,0,0,0]"
741,39.0,,
742,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
743,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
744,37.0,,
745,30.0,,"[0,0,0,0,0,0,0,0,1,0]"
746,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
747,54.0,,
748,42.0,,
749,39.0,,
750,40.0,,"[0,0,0,0,1,0,0,0,0,0]"
751,37.0,,"[0,1,0,0,0,0,0,0,0,0]"
752,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
753,42.0,,"[0,0,0,0,0,0,0,0,0,1]"
754,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
755,35.0,,"[0,0,0,0,1,0,0,0,0,0]"
756,41.0,,"[0,1,0,0,0,0,0,0,0,0]"
757,33.0,,
758,-42.0,,"[0,0,0,0,1,0,0,0,0,0]"
759,,,
760,43.0,,
761,,,
762,,,"[1,0,0,0,0,0,0,0,0,0]"
763,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
764,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
765,,,
766,34.0,,
767,56.0,,
768,,,
769,38.0,,"[0,0,0,0,0,0,0,0,0,1]"
770,31.0,,
774,,,"[0,0,0,0,0,1,0,0,0,0]"
775,,,
776,39.0,,
777,40.0,,"[0,0,0,0,1,0,0,0,0,0]"
778,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
779,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
780,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
781,,,
782,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
784,34.0,,
785,30.0,,
786,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
787,52.0,,"[0,0,0,0,1,0,0,0,0,0]"
788,32.0,,
789,46.0,,
790,31.0,,
791,30.0,,
792,31.0,,"[0,0,0,0,0,0,1,0,0,0]"
793,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
794,55.0,,"[0,0,0,0,0,0,0,0,0,1]"
795,45.0,,"[0,0,0,0,0,0,0,0,0,1]"
796,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
797,30.0,,"[0,0,0,0,0,0,0,0,0,1]"
798,30.0,,"[0,0,0,0,0,0,0,0,0,1]"
799,,,"[0,0,0,0,0,0,0,0,0,1]"
800,30.0,,
801,,,"[0,0,0,0,1,0,0,0,0,0]"
802,23.0,,"[0,0,0,0,1,0,0,0,0,0]"
803,,,"[1,0,0,0,0,0,0,0,0,0]"
804,,,"[0,0,0,0,0,0,1,0,0,0]"
805,33.0,,
806,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
